average_price,plu_4046,plu_4225,plu_4770,geography
1.88,10.14,977.2,0,Northern New England
0.98,260635,29682.52,141.02,Orlando
1.77,1876.49,81.06,0,Orlando
1.18,27380.04,322071,1104.04,Philadelphia
1.84,454.68,1885.25,7.52,Philadelphia
0.71,813326.5,208871.24,6035.48,Phoenix/Tucson
1.37,11611.97,1541.11,0,Phoenix/Tucson
1.23,2604.56,46711,1370.01,Pittsburgh
1.47,842.7,91.73,0,Pittsburgh
1.09,885071.63,450192.76,11548.82,Plains
1.8,3811.27,19130.46,22.89,Plains
1.1,153885.51,213514.26,16449.01,Portland
1.29,15676.37,40685.17,17.09,Portland
1.19,78241.83,60049.35,37929.9,Raleigh/Greensboro
1.85,83.02,2618.03,902.2,Raleigh/Greensboro
1.12,61853.48,91980.03,10380.07,Richmond/Norfolk
1.52,169.24,2320.53,381.39,Richmond/Norfolk
1.09,51584.99,46659.25,102.64,Roanoke
1.36,68.95,4201.88,0,Roanoke
1.13,106578.88,221094.74,13423.63,Sacramento
1.52,4117.41,3666.37,0,Sacramento
0.96,235106.15,221942.26,14165.05,San Diego
1.16,8173.64,4447.33,0,San Diego
1.19,136354.98,568189.47,30959.94,San Francisco
1.34,12997.29,8370.33,0,San Francisco
1.13,192630.73,229939.77,8716.19,Seattle
1.53,10717.1,38095.48,30.85,Seattle
1,218785.98,48984.19,15237.87,South Carolina
1.77,610.35,1876.4,528.23,South Carolina
0.76,3785376.16,1476714.1,81039.5,South Central
1.37,39985.64,7287.16,0,South Central
0.98,2823708.05,299770.04,21570.5,Southeast
1.73,12359.73,9572.05,746.1,Southeast
1.1,32960.85,28457.8,2400.38,Spokane
1.47,1522.43,5302.25,0,Spokane
1.34,77997.93,37696.27,39.92,St. Louis
1.83,1305.95,2489.26,0,St. Louis
1.33,2030.41,21884.43,43.48,Syracuse
1.76,0,193.32,0,Syracuse
0.97,310473.4,32912.35,105.17,Tampa
1.68,1190.57,13.18,0,Tampa
1.01,13697405.61,12659784.83,1066385.92,Total U.S.
1.49,237139.46,320353.82,5290.59,Total U.S.
0.99,2511453.54,2163704.41,101626.05,West
1.43,94041.38,143154.95,66.85,West
0.85,489678.55,157679.62,14084.25,West Tex/New Mexico
1.84,2209.54,3525.73,0,West Tex/New Mexico
1.02,1402.28,58623.22,89.5,Albany
1.93,24.75,173.26,0,Albany
1.11,305028.89,16651.99,261.01,Atlanta
1.88,2016.24,2847.3,0,Atlanta
1.25,58098.15,398050.87,43759.68,Baltimore/Washington
1.63,7578.28,3597.75,786.94,Baltimore/Washington
0.98,59532.94,7119.52,3101.98,Boise
1.52,8.82,3776.05,0,Boise
1.19,3619.31,339299.3,151.36,Boston
1.98,22.27,745.34,0,Boston
1.39,1352.63,48430.03,80.52,Buffalo/Rochester
1.83,13.88,128.39,0,Buffalo/Rochester
1.1,2609532.63,1869271.31,193577.55,California
1.53,56829.47,44390.86,0,California
1.23,34498.06,50741.07,40688.42,Charlotte
1.96,267.8,1467.6,1227.69,Charlotte
1.22,25629.52,545317.99,84865.54,Chicago
1.66,119.66,14605.4,0,Chicago
0.95,3014.53,122178,2448.36,Cincinnati/Dayton
1.27,344.26,12693.87,0,Cincinnati/Dayton
0.96,72473.25,25151.42,8711.76,Columbus
1.79,369.21,2347.69,0,Columbus
0.79,645523.05,396361,13339.76,Dallas/Ft. Worth
1.36,6160.98,467.75,0,Dallas/Ft. Worth
1.11,160679.31,371990.15,4760.21,Denver
1.44,5455.77,8344.01,8.64,Denver
0.97,120782.43,28182.89,38352.45,Detroit
1.74,410.36,5582.97,0,Detroit
1.11,1977.68,63600.68,3003.97,Grand Rapids
1.87,46.7,631.84,0,Grand Rapids
1.09,456518.93,1472879.42,196545.04,Great Lakes
1.62,2606.14,51107.34,0,Great Lakes
1.14,31891.81,102587.16,418.1,Harrisburg/Scranton
1.79,48.19,204.38,0,Harrisburg/Scranton
1.22,3980.5,184277.87,217.08,Hartford/Springfield
2.27,88.35,1846.21,0,Hartford/Springfield
0.79,502389.02,480447.28,4633.28,Houston
1.24,7514.43,836.89,0,Houston
1.09,5382.76,97691.27,8095.81,Indianapolis
1.81,50.73,812.75,0,Indianapolis
1.2,74529.93,8432.63,861.41,Jacksonville
1.76,1346.48,65.78,17.06,Jacksonville
0.84,194240.37,104621.47,7463.43,Las Vegas
1.43,5071.98,3688.02,0,Las Vegas
1,1672623.8,535932.2,69022.84,Los Angeles
1.42,13962.42,12697.51,0,Los Angeles
1,2639.24,64264.48,1117,Louisville
1.63,0,685.41,0,Louisville
1.25,261045.75,32977.11,87.26,Miami/Ft. Lauderdale
1.83,1818.87,35.41,0,Miami/Ft. Lauderdale
1.18,576473.89,1160794.38,203057.64,Midsouth
1.65,10530.83,30083.37,4781.66,Midsouth
1.07,102824.72,8307.47,14079.54,Nashville
1.67,334.3,2754.56,96,Nashville
0.97,161509.61,9472.68,77.75,New Orleans/Mobile
1.57,527.3,19.22,0,New Orleans/Mobile
1.36,21780.45,882071.76,1812.92,New York
2.08,4160.87,9765.56,85.52,New York
1.26,96169.31,2543290.15,5707.16,Northeast
1.95,5533.31,16533.45,90.99,Northeast
1.07,2452.76,372165.06,57.27,Northern New England
1.9,24.76,569.59,0,Northern New England
1.25,150612.51,18785.42,128.97,Orlando
1.89,2081.41,47.36,0,Orlando
1.39,15819.32,222182.25,1168.94,Philadelphia
1.83,382.81,1310.14,17.23,Philadelphia
0.57,998057.91,157108.31,8638.85,Phoenix/Tucson
1.46,13441.63,1143.87,0,Phoenix/Tucson
1.25,2566.52,51530.22,1503.84,Pittsburgh
1.41,748.72,181.45,0,Pittsburgh
1.08,912075.07,441015.24,10085.33,Plains
1.85,3489.99,17818.18,20.63,Plains
1.2,162580.71,163122.62,18487.16,Portland
1.45,9134.72,45312.41,3.14,Portland
1.23,56270.21,71237.73,44155,Raleigh/Greensboro
1.78,389.81,2583.24,1021.05,Raleigh/Greensboro
1.15,54695.88,96405.61,11552.86,Richmond/Norfolk
1.6,214.19,3073.68,486.7,Richmond/Norfolk
1.13,46540.34,46915.77,110.35,Roanoke
1.51,125.9,5301.46,0,Roanoke
1.2,110809.75,203705.17,13740.39,Sacramento
1.64,5357.72,4490.5,0,Sacramento
1.08,234361.38,155583.39,14998.04,San Diego
1.53,3207.2,5150.91,0,San Diego
1.3,145294.94,460144.9,26459.6,San Francisco
1.55,18872.86,9215.92,0,San Francisco
1.22,162078.03,205582.46,9896.09,Seattle
1.56,8899.19,43641.28,18.03,Seattle
1.11,151124.37,45649.68,16553.04,South Carolina
1.93,727.42,1386.26,623.33,South Carolina
0.82,3091049.63,1836365.62,89374.2,South Central
1.42,28872.83,5897.44,0,South Central
1.16,1804282.66,205041.11,23224.7,Southeast
1.84,14076.38,7149.66,865.07,Southeast
1.12,36451.47,26800.47,2051.36,Spokane
1.55,758.52,4642.83,0,Spokane
1.21,111921.69,39575,56.26,St. Louis
2.09,1054.01,2013.4,0,St. Louis
1.29,1020.84,28858.3,42.67,Syracuse
1.82,0,126.65,0,Syracuse
1.2,169276.36,18562,94.15,Tampa
1.73,1045.44,8.38,0,Tampa
1.04,12524637.04,11541041.35,811272.88,Total U.S.
1.6,193273.88,324919.62,5794.39,Total U.S.
0.93,2978534.92,2012384.12,89701.26,West
1.54,71334.94,151939.31,36.04,West
0.74,595240.91,199938.3,18570.6,West Tex/New Mexico
1.77,2193.27,3230.94,0,West Tex/New Mexico
1.16,961.77,35577.66,93.76,Albany
1.93,15.75,202.52,0,Albany
1.04,318473.47,19254.39,374.51,Atlanta
1.74,1595.31,3073.37,0,Atlanta
1.29,53579.17,401279.47,41867.08,Baltimore/Washington
1.63,8144.98,3199.51,708.11,Baltimore/Washington
1.09,57339.81,9060.49,3790.38,Boise
1.83,6.35,1216.07,0,Boise
1.27,3657.54,330424.74,99.92,Boston
1.91,75.42,932.58,0,Boston
1.44,969.27,51023.86,95.69,Buffalo/Rochester
1.8,16.21,131.49,0,Buffalo/Rochester
1.12,2754464.87,1886168.89,225396.85,California
1.52,57082.3,51295.72,0,California
1.19,43112.4,40448.49,36210.12,Charlotte
2.08,303.66,1235.08,1127.82,Charlotte
1.27,38641.17,530946.92,90801.53,Chicago
1.65,112.46,20035.04,0,Chicago
1.06,7516.57,135093.59,2508.15,Cincinnati/Dayton
1.22,279.01,12842.34,0,Cincinnati/Dayton
1.09,67298.39,30313.37,9926.54,Columbus
1.38,403.53,2859.4,0,Columbus
0.77,802917.65,387745.54,13592.62,Dallas/Ft. Worth
1.36,8239.86,486.87,0,Dallas/Ft. Worth
1.19,156966.84,396449.92,6308.61,Denver
1.42,8696.59,6633.32,19.54,Denver
1.11,113210.53,62859.83,49925.6,Detroit
1.51,460.98,6496.51,0,Detroit
1.22,4487.21,92044.84,5487.61,Grand Rapids
1.83,11.05,617.23,0,Grand Rapids
1.18,504487.79,1595354.39,221603.31,Great Lakes
1.51,2559.69,60473.81,0,Great Lakes
1.21,35705.85,112157.42,485.39,Harrisburg/Scranton
1.75,28.96,155.83,7.44,Harrisburg/Scranton
1.33,4021.27,183801.36,194.45,Hartford/Springfield
2.18,99.8,1927.65,2.59,Hartford/Springfield
0.83,608887.6,496479.07,4878.2,Houston
1.25,10220.11,469.87,0,Houston
1.17,12623.45,95213.63,2843.96,Indianapolis
1.49,66.72,1068.47,0,Indianapolis
1.1,105691.56,11012.21,848.18,Jacksonville
1.81,1209.53,64.62,48.77,Jacksonville
0.81,226614.58,76597.83,6194.31,Las Vegas
1.67,4828.61,3641.12,0,Las Vegas
1.01,1753452.57,490701.38,73965.36,Los Angeles
1.42,16980.32,17529.71,0,Los Angeles
1.08,1833.31,49893.14,565.69,Louisville
1.59,4.82,896.16,0,Louisville
1.11,370549.02,48767.27,91.39,Miami/Ft. Lauderdale
1.86,1231.96,22.7,0,Miami/Ft. Lauderdale
1.19,617567.29,1066608.5,183653.85,Midsouth
1.65,10574.96,31229.73,4688.87,Midsouth
1.06,104270.46,8266.56,14141.74,Nashville
1.66,261.25,3354.35,116.49,Nashville
0.99,166893.13,7766.84,250,New Orleans/Mobile
1.53,418.56,74.17,0,New Orleans/Mobile
1.41,20081.53,909664.31,2011.01,New York
2.14,1901.13,8814.15,10.97,New York
1.34,97887.72,2409449.74,6203.7,Northeast
1.91,3446.17,15316.65,48.13,Northeast
1.19,2352.11,252306.55,82.02,Northern New England
1.88,56.28,553.8,0,Northern New England
1.1,211116.53,25858.76,103.76,Orlando
1.82,1494.07,62.1,0,Orlando
1.43,15897.74,240591.74,1290.63,Philadelphia
1.81,390.07,1248.73,26.69,Philadelphia
0.57,1058164.41,172115.69,7128.12,Phoenix/Tucson
1.5,10944.3,1290.72,0,Phoenix/Tucson
1.29,2256.74,48395.44,1645.11,Pittsburgh
1.35,726.93,208.38,0,Pittsburgh
1.13,898263.98,437183.58,11645.81,Plains
1.81,3534.09,18648.77,48.2,Plains
1.22,160806.41,178795.8,19335.81,Portland
1.76,9037.65,17777.46,4.75,Portland
1.12,68933.47,53335.28,37207.47,Raleigh/Greensboro
1.96,152.04,2540.93,930.22,Raleigh/Greensboro
1.14,69929.43,95585.93,9827.34,Richmond/Norfolk
1.54,235.1,2349.78,523.63,Richmond/Norfolk
1.19,48155.42,44874.21,258.54,Roanoke
1.42,92.13,5159.16,0,Roanoke
1.23,120613.18,214547.09,15099.24,Sacramento
1.64,4591.9,4319.15,0,Sacramento
1.11,249036.72,162601.8,15718.9,San Diego
1.53,4079.7,6401.32,0,San Diego
1.33,143671.36,473142.55,35650.7,San Francisco
1.55,17104.69,9426.01,0,San Francisco
1.26,148128.23,238612.85,9791.26,Seattle
1.92,6708.14,22605.23,43.95,Seattle
1.1,187483.15,44278.23,18418.66,South Carolina
1.97,581.39,1475.46,517.88,South Carolina
0.83,3676642.17,1856953.2,104285.22,South Central
1.4,39792.84,8032.39,768.15,South Central
1.08,2257669.21,252737.98,26137.34,Southeast
1.78,11237.65,8453.37,802.8,Southeast
1.15,30529.69,29902.8,3073.43,Spokane
1.8,667.51,1972.05,0,Spokane
1.36,77970.98,34544.71,67.97,St. Louis
2.13,1254.85,2065.32,0,St. Louis
1.38,716.97,24675.99,20.46,Syracuse
1.76,2.46,104.5,0,Syracuse
1.09,242307.65,26336.27,193.86,Tampa
1.72,922.43,5.96,0,Tampa
1.06,13939014.43,11526980.36,871981.29,Total U.S.
1.63,197746.89,275595.72,6434.88,Total U.S.
0.95,3132031.4,2022524.08,93055.21,West
1.69,69519.19,82145.27,78.72,West
0.76,660961.68,163481.6,15530.04,West Tex/New Mexico
1.8,2827.97,3353.79,0,West Tex/New Mexico
1.13,864.27,30374.15,21.5,Albany
1.76,51.75,93.38,0,Albany
0.99,377578.48,22419.95,219.14,Atlanta
1.79,1899.54,4739.12,0,Atlanta
1.15,70796.72,523170.13,42270.76,Baltimore/Washington
1.66,7671.04,3634.16,864.43,Baltimore/Washington
1.19,44469.15,8506.36,7523.01,Boise
1.41,5.11,3290.24,0,Boise
1.26,3575.89,294164.23,106.09,Boston
1.86,44.38,915.97,0,Boston
1.42,884.02,45443.61,92.75,Buffalo/Rochester
1.79,30.13,145.17,0,Buffalo/Rochester
1.06,2848184,1988818.23,185198.77,California
1.5,59861.05,49554.48,0,California
1.17,48793.38,50390.01,39638.34,Charlotte
2.12,255.73,1460.35,1256.22,Charlotte
1.24,45103.98,488323.33,83137.77,Chicago
1.3,722.16,86707.64,0,Chicago
1.02,11176.67,120830.33,1306.19,Cincinnati/Dayton
1.49,272.3,12556.25,0,Cincinnati/Dayton
1.07,66513.95,28065.91,9955.72,Columbus
1.66,383.43,3479.25,0,Columbus
0.72,871511.12,288420.79,12596.79,Dallas/Ft. Worth
1.39,8189.75,526.38,0,Dallas/Ft. Worth
1.05,176304.23,574793.28,8603.75,Denver
1.42,6189.81,4728.75,20.72,Denver
1.02,96441.78,24663.5,43008.11,Detroit
1.72,460.89,6496.85,0,Detroit
1.13,5875.73,66804.31,2717.16,Grand Rapids
1.86,0,606.83,0,Grand Rapids
1.11,548501.37,1403326.56,190091.28,Great Lakes
1.42,3254.92,135705.27,0,Great Lakes
1.18,35513.59,101051.47,400.34,Harrisburg/Scranton
1.79,86.7,151.38,0,Harrisburg/Scranton
1.25,3432.34,182584.86,133.93,Hartford/Springfield
2.16,183.5,2892.62,0,Hartford/Springfield
0.79,631292.63,353794.42,3936.53,Houston
1.26,11423.99,490.02,0,Houston
1.15,13496.9,86722.03,2457.5,Indianapolis
1.76,79.59,1201.62,0,Indianapolis
0.99,132039.44,13392.51,645.1,Jacksonville
1.89,1407.49,56.1,20.73,Jacksonville
0.76,245368.93,69484.66,4229.89,Las Vegas
1.56,4396.88,3477.96,0,Las Vegas
0.93,1818859.19,579426.16,64716.4,Los Angeles
1.39,17119.09,17886.3,0,Los Angeles
0.97,2761.77,61733.99,340.98,Louisville
1.42,8.84,799.87,0,Louisville
1,525432.6,63130.09,59.84,Miami/Ft. Lauderdale
1.81,1456.1,35.22,0,Miami/Ft. Lauderdale
1.13,665283.33,1298472.42,185691.58,Midsouth
1.53,10623.07,38006.99,5014.1,Midsouth
1,111682.33,9658.98,12737.74,Nashville
1.5,493.81,4812.41,83.81,Nashville
0.97,168050.37,7155.35,294,New Orleans/Mobile
1.58,417.57,2.75,0,New Orleans/Mobile
1.43,18928.26,764676.24,1846.37,New York
1.86,3711.04,14390.54,22.19,New York
1.33,93987.65,2102179.57,5306.97,Northeast
1.81,6165.15,22584.41,27.38,Northeast
1.16,2160.72,214309.89,58.52,Northern New England
1.87,46.16,444.69,0,Northern New England
0.99,275283.48,28203.4,96.79,Orlando
1.89,1774.59,84.17,0,Orlando
1.44,15208.07,210183.29,1217.98,Philadelphia
1.73,677.37,1892.8,7.88,Philadelphia
0.66,746352.69,181417.77,5732.19,Phoenix/Tucson
1.56,10085.19,1365.84,0,Phoenix/Tucson
1.5,1734.18,38757.55,1180.96,Pittsburgh
1.45,999.41,152.15,0,Pittsburgh
0.97,1423163.45,471484.38,12343.11,Plains
1.82,3059.06,17207.03,9.2,Plains
1.16,150701.62,199632.59,15964.76,Portland
1.32,8217.36,41945.37,11.27,Portland
1.1,71379.06,72736.73,37443.69,Raleigh/Greensboro
1.67,115.36,3462.03,1068.76,Raleigh/Greensboro
1.11,60609.49,96301.96,9863.28,Richmond/Norfolk
1.23,344.8,3395.88,524.9,Richmond/Norfolk
1.13,50246.44,49285.67,130.09,Roanoke
1.03,202.01,6608.1,0,Roanoke
1.24,119295.38,208546.45,13073.16,Sacramento
1.65,4230.7,3803.44,0,Sacramento
1.01,260591.11,189713.87,14665.62,San Diego
1.49,3994.59,6126.03,0,San Diego
1.33,159838.22,469655.44,25315.71,San Francisco
1.54,18887.66,9332.79,0,San Francisco
1.33,134346.5,184720.11,11710.31,Seattle
1.59,8715.25,48802.16,45.41,Seattle
1.05,220208.81,49060.02,16838.53,South Carolina
1.94,527.44,1873.44,722.33,South Carolina
0.8,3851189.34,1385674.25,102729.01,South Central
1.4,42155.69,5686.47,36.67,South Central
1,2801179.62,292733.49,23471.11,Southeast
1.82,12145.45,11195.55,992.48,Southeast
1.21,27692.12,23281.52,3057.26,Spokane
1.58,837.43,5183.14,0,Spokane
1.21,138215.06,37441.77,144.84,St. Louis
2.05,1375.39,1735.13,0,St. Louis
1.36,670.17,21961.57,26.37,Syracuse
1.71,0,47.91,0,Syracuse
0.99,304622.85,30735.77,170.44,Tampa
1.69,891.23,27.34,0,Tampa
1.02,14793354.18,11210544.11,807942.41,Total U.S.
1.53,202491.27,428607.3,6179.48,Total U.S.
0.98,2561865.42,2267855.21,103110.58,West
1.5,65226.89,148667.1,99.65,West
0.76,564694.43,167105.74,11290.94,West Tex/New Mexico
1.66,2470.16,3359.63,0,West Tex/New Mexico
1.19,774.15,33941.51,47.15,Albany
1.96,18.01,102.45,0,Albany
1.12,368709.65,18040.85,873.24,Atlanta
1.63,1820.12,4094.67,0,Atlanta
1.28,67486.78,427623.27,42125.28,Baltimore/Washington
1.64,8223.03,3998.93,865.46,Baltimore/Washington
0.99,56843.62,21630.9,3260.22,Boise
1.69,5.14,1138.32,0,Boise
1.15,4013.71,384880.49,162.91,Boston
1.94,13.06,912.2,0,Boston
1.42,1021.72,52954.82,59.18,Buffalo/Rochester
1.83,38.27,156.12,0,Buffalo/Rochester
1.05,3024466.22,2070974.14,177354.82,California
1.52,55948.06,57078.01,1.49,California
1.18,38330.46,41954.32,36041.12,Charlotte
2.06,234,1311.9,1400.1,Charlotte
1.24,52850.1,594214.84,93303.25,Chicago
1.55,614.18,25888.63,0,Chicago
1.02,8229.4,144900.84,12959.1,Cincinnati/Dayton
1.46,374.37,13907.82,0,Cincinnati/Dayton
1,80303.92,40370.03,26369.27,Columbus
1.47,287.16,3203.91,0,Columbus
0.8,735235.09,284292.72,16013.68,Dallas/Ft. Worth
1.35,9552.71,525.47,0,Dallas/Ft. Worth
1.08,129744.18,544167.43,6231.67,Denver
1.44,6897.03,4706.9,65.71,Denver
0.96,140434.29,139016.06,107930.54,Detroit
1.59,391.97,5966.03,0,Detroit
0.93,5547.29,217323.81,15023.71,Grand Rapids
1.59,0,963.77,0,Grand Rapids
1.06,615564.03,2140254.41,383840.98,Great Lakes
1.57,3155.93,68315.02,1.54,Great Lakes
1.17,45693.41,112023.17,501.77,Harrisburg/Scranton
1.88,96.21,86.59,6.2,Harrisburg/Scranton
1.35,3625.55,196720.42,175.12,Hartford/Springfield
2.27,82.48,2636.67,1.29,Hartford/Springfield
0.82,566197.65,250464.55,3898.56,Houston
1.26,12200.72,522.8,0,Houston
1.08,12091.85,106308.89,10136.69,Indianapolis
1.78,93.88,1164.3,0,Indianapolis
1.17,81015.05,8893.31,650.56,Jacksonville
1.82,1375.82,35.37,13.42,Jacksonville
0.82,206745.02,66506.38,7618.69,Las Vegas
1.43,5673.89,3973.87,0,Las Vegas
0.93,2029025.26,487491.5,58423.48,Los Angeles
1.41,14352.89,21089.41,1.52,Los Angeles
1.01,2113.76,62591.27,5341.52,Louisville
1.37,0,914.76,0,Louisville
1.23,306881.48,38958.56,41.04,Miami/Ft. Lauderdale
1.61,1344.13,31.38,0,Miami/Ft. Lauderdale
1.18,654378.33,1125460.56,190006.01,Midsouth
1.51,10821.03,45874.1,5280.9,Midsouth
1.11,91537.59,7598.5,12377.93,Nashville
1.45,355.1,6291.91,52.19,Nashville
0.93,172951.25,12171.55,373.11,New Orleans/Mobile
1.57,414.11,0,0,New Orleans/Mobile
1.42,20252.47,927145.61,2366.85,New York
2.04,2688.07,16785.46,34.25,New York
1.31,110954.74,2552885.19,6389.9,Northeast
1.94,4357.54,24247.68,50.04,Northeast
1.13,2156.47,284389.27,78.27,Northern New England
1.88,3.38,643.91,0,Northern New England
1.23,157931.42,18812.23,205.89,Orlando
1.76,1577.58,103.61,0,Orlando
1.43,16585.73,242740.8,1309.62,Philadelphia
1.89,386.51,1671.71,12.7,Philadelphia
0.51,1097285.22,164460.99,7534.3,Phoenix/Tucson
1.48,12488.27,1697.81,0,Phoenix/Tucson
1.49,1724.93,43528.57,1286.7,Pittsburgh
1.37,1061.01,232.2,0,Pittsburgh
1.12,1055547.01,433296.82,33180.04,Plains
1.9,3334.06,15998.87,48.37,Plains
0.99,144514.6,337188.3,13456.08,Portland
1.57,12834.38,12733.52,0,Portland
1.13,67458.77,58452.52,36476.98,Raleigh/Greensboro
1.68,79.37,4244.69,1260.14,Raleigh/Greensboro
1.1,75898.29,91143.24,10864.49,Richmond/Norfolk
1.26,422.67,4874.84,474.62,Richmond/Norfolk
1.08,68391.59,44913.65,146.75,Roanoke
1.05,172.29,8811.28,0,Roanoke
1.19,117518.41,241637.11,13267.34,Sacramento
1.65,4447.66,4568.21,0,Sacramento
1.04,270328.18,156651.22,13282.24,San Diego
1.52,2524.24,7216.36,0,San Diego
1.23,134592.31,584922.85,25208.79,San Francisco
1.55,19780.58,9164.18,0,San Francisco
1.13,130765.93,324680.31,10877.06,Seattle
1.76,9788.52,24647.6,72.91,Seattle
1.08,185939.51,43227.61,15722.07,South Carolina
1.87,631.59,1637.27,592.72,South Carolina
0.82,3657278.94,1183497.85,114923.71,South Central
1.39,44632.62,5565.23,31.07,South Central
1.14,2014443.63,214218.14,23684.96,Southeast
1.69,11389.9,9302.64,879.8,Southeast
1.03,31965.44,42072.81,2783.29,Spokane
1.69,1570.21,2153.19,0,Spokane
1.34,101449.24,38169.29,33.73,St. Louis
2.09,1372.59,1894.04,0,St. Louis
1.4,721.11,24884.63,49.37,Syracuse
1.83,3.46,57.81,0,Syracuse
1.16,182582.22,19553.08,138.42,Tampa
1.48,907.45,22.51,0,Tampa
1.03,14251319.31,12277858.78,1016631.26,Total U.S.
1.59,215283.51,301783.5,6465.74,Total U.S.
0.88,3118686.39,2557271.66,87250.83,West
1.58,81644.37,75401.95,172.53,West
0.7,687794.59,154971.84,16243.48,West Tex/New Mexico
1.6,3654.28,4477.34,0,West Tex/New Mexico
1.22,875.65,35841.75,89.62,Albany
1.9,27.01,30.53,0,Albany
1.12,387676.81,18366.33,1041.78,Atlanta
2.01,1627.63,2751.73,0,Atlanta
1.29,58013.85,431532.87,39942.57,Baltimore/Washington
1.7,6339.49,3106.49,815.62,Baltimore/Washington
0.96,69544.59,7985.48,3401.65,Boise
1.36,9.05,1579.24,0,Boise
1.28,3915.3,352464.49,131.46,Boston
1.86,4.29,956.52,0,Boston
1.41,1117.56,49556.91,106.4,Buffalo/Rochester
1.84,29.08,204.73,0,Buffalo/Rochester
1.15,2421009.67,1729486.77,196469.02,California
1.5,63539.73,51223.93,0,California
1.2,39481.13,44796.9,37961.14,Charlotte
2.18,295.75,1054.18,1150.52,Charlotte
1.24,46749.43,543002.3,97410.38,Chicago
1.51,920.16,30398.61,0,Chicago
1.06,8217.17,138764.19,6904.19,Cincinnati/Dayton
1.36,256.76,13336.25,0,Cincinnati/Dayton
1.02,87214.58,28964.04,16624.25,Columbus
1.57,408.44,3284.07,0,Columbus
0.81,717960.82,270228.19,12091.21,Dallas/Ft. Worth
1.34,7679.05,379.42,0,Dallas/Ft. Worth
1.19,160372.05,381779.34,5981.19,Denver
1.03,75842.24,37729.4,268.3,Denver
1.01,133322.95,61051.45,66651.75,Detroit
1.63,430.95,6139.36,0,Detroit
1.09,4480.46,105590.91,6421.76,Grand Rapids
1.79,2.81,1040.34,0,Grand Rapids
1.14,609506.22,1580854.41,294073.96,Great Lakes
1.55,3518.79,73735,0,Great Lakes
1.21,45102.26,118533.62,415.14,Harrisburg/Scranton
1.81,23.42,97.81,0,Harrisburg/Scranton
1.36,4159.5,206008.87,229.9,Hartford/Springfield
2.24,52.97,2160.59,5.16,Hartford/Springfield
0.79,689172.94,295785.8,5527.28,Houston
1.26,10739.01,480.43,0,Houston
1.24,12319.28,88398.02,16641.02,Indianapolis
1.69,75.88,1092.14,0,Indianapolis
1.21,87231.57,9218.89,595.04,Jacksonville
1.88,1426.4,36.35,30.29,Jacksonville
0.88,133307.7,132942.52,5032.11,Las Vegas
1.76,3751.05,7660.4,0,Las Vegas
1.02,1567937.53,427885.78,62487.28,Los Angeles
1.4,15815.81,17652.02,0,Los Angeles
1.21,2070.06,42192.26,2780.63,Louisville
1.67,1.22,1045.34,0,Louisville
1.25,341780.74,41476.06,120.02,Miami/Ft. Lauderdale
1.25,5848.51,488.5,0,Miami/Ft. Lauderdale
1.2,698128.52,1125853,192090.19,Midsouth
1.46,9169.34,42025.26,4427.92,Midsouth
1.08,117295.03,8599.82,15685.44,Nashville
1.68,255.29,3162.23,53.33,Nashville
0.96,179543.83,9195.1,288,New Orleans/Mobile
1.56,353.56,83.28,0,New Orleans/Mobile
1.44,20400.34,932216.48,2618.1,New York
2.21,1765.8,10026.69,466.89,New York
1.36,110930.88,2492744.36,7040.21,Northeast
1.96,3100.23,16190.74,438.48,Northeast
1.24,1960.76,253562.76,79.62,Northern New England
1.88,6.83,617.83,0,Northern New England
1.23,179052.54,21351.58,93.98,Orlando
1.88,1845.77,57.67,0,Orlando
1.46,17337.89,249070.68,1439.55,Philadelphia
1.86,305.19,1171.58,3.46,Philadelphia
0.53,1012900.04,159158.29,5832.62,Phoenix/Tucson
1.65,11276.67,4970.49,0,Phoenix/Tucson
1.44,1820.06,44304.28,1309.41,Pittsburgh
1.38,720.64,50.31,0,Pittsburgh
1.13,1022915.7,447514.72,23878.2,Plains
1.93,2749.61,17543.74,48.5,Plains
0.95,238672.89,224599.46,13860.48,Portland
1.27,8483.62,21190.25,1.64,Portland
1.16,75695.92,62292.95,38961.11,Raleigh/Greensboro
1.51,89.77,4454.61,919.05,Raleigh/Greensboro
1.11,76765.23,97538.87,11133.44,Richmond/Norfolk
1.12,497.79,5299.89,378.65,Richmond/Norfolk
1.09,63041.96,47028.39,81.83,Roanoke
0.94,275.96,10599.98,0,Roanoke
1.27,101324.62,205561.23,13085.26,Sacramento
1.62,5069.89,4401.41,0,Sacramento
1.11,235664.26,141949.05,14634.32,San Diego
1.48,2780.48,6603.33,0,San Diego
1.39,107461.85,458055.89,35558.24,San Francisco
1.52,22964.23,8946,0,San Francisco
1.19,202726.84,188384.71,10046.11,Seattle
1.66,8195.52,30041.24,74.47,Seattle
1.1,191953.94,43170.27,16204.46,South Carolina
2.02,684.84,1269.42,485.55,South Carolina
0.83,3637682.35,1248422.73,73076.91,South Central
1.43,38075.34,7687.89,0,South Central
1.16,2170188.85,220781.47,23844.72,Southeast
1.7,18578.82,7341.19,710.75,Southeast
1.08,41208.97,24094.05,2597.12,Spokane
1.5,1010.05,2865.37,0,Spokane
1.37,86967.98,42320.51,15.07,St. Louis
2.03,1096.55,1659.18,0,St. Louis
1.4,768.09,23424.19,19.39,Syracuse
1.77,2.46,45.56,0,Syracuse
1.19,203078.44,19757.32,118.14,Tampa
