average_price,4046,4225,4770,type,geography
1.67,66.16,2449.2,215.03,organic,Richmond/Norfolk
1.0,27512.58,31883.26,116.69,conventional,Roanoke
1.59,47.01,3008.82,0.0,organic,Roanoke
1.0,99604.61,224843.47,15917.28,conventional,Sacramento
1.68,1124.17,3959.43,0.0,organic,Sacramento
0.94,130565.46,119298.5,25052.93,conventional,San Diego
1.23,1099.57,5048.8,0.0,organic,San Diego
1.15,173521.67,364622.31,33083.99,conventional,San Francisco
1.87,980.71,12582.57,0.0,organic,San Francisco
1.15,88134.2,139794.19,6308.35,conventional,Seattle
1.55,505.82,13425.9,12.02,organic,Seattle
1.04,115402.34,39931.51,6244.22,conventional,South Carolina
1.77,572.06,1280.97,344.25,organic,South Carolina
1.12,17819.26,16576.75,2660.37,conventional,Spokane
1.56,42.41,1048.06,0.0,organic,Spokane
1.13,40333.06,23867.6,40.52,conventional,St. Louis
1.34,1228.13,866.31,8.84,organic,St. Louis
1.36,646.68,22231.33,12.89,conventional,Syracuse
1.53,0.0,72.97,0.0,organic,Syracuse
1.15,146376.83,23810.77,33.84,conventional,Tampa
1.79,1214.1,11.31,0.0,organic,Tampa
0.83,389110.55,108176.29,12953.59,conventional,West Tex/New Mexico
1.92,1512.45,2407.32,11.78,organic,West Tex/New Mexico
1.33,1036.74,54454.85,48.16,conventional,Albany
1.83,8.16,88.59,0.0,organic,Albany
0.99,292097.36,27350.92,297.9,conventional,Atlanta
1.84,1366.31,1652.5,0.0,organic,Atlanta
1.17,40450.49,394104.02,17353.79,conventional,Baltimore/Washington
1.51,363.5,5263.2,318.34,organic,Baltimore/Washington
0.97,30482.25,2971.94,5894.4,conventional,Boise
0.91,15.53,508.49,0.0,organic,Boise
1.13,3886.27,346964.7,13952.56,conventional,Boston
1.48,9.65,775.99,39.82,organic,Boston
1.35,1367.81,39542.83,85.76,conventional,Buffalo/Rochester
1.47,0.0,166.37,0.0,organic,Buffalo/Rochester
0.9,1833946.59,1760956.02,232755.85,conventional,California
1.45,14306.68,50893.97,0.0,organic,California
0.96,33070.27,62956.24,23041.69,conventional,Charlotte
1.9,389.52,1416.49,682.38,organic,Charlotte
0.93,42799.0,445218.79,78378.25,conventional,Chicago
1.58,1064.71,19320.66,0.0,organic,Chicago
0.87,2633.37,100444.22,9546.88,conventional,Cincinnati/Dayton
1.43,249.94,5919.28,0.0,organic,Cincinnati/Dayton
0.99,41808.54,27120.67,15564.05,conventional,Columbus
1.53,289.7,1781.31,0.0,organic,Columbus
0.8,494425.64,276556.76,84912.97,conventional,Dallas/Ft. Worth
1.33,5921.12,421.38,0.0,organic,Dallas/Ft. Worth
0.98,93034.2,246747.13,19103.69,conventional,Denver
1.43,9299.54,2853.98,12.14,organic,Denver
1.08,83097.26,50545.78,59789.18,conventional,Detroit
1.61,1276.73,3370.14,0.0,organic,Detroit
1.13,2992.62,101109.84,5754.75,conventional,Grand Rapids
1.67,822.95,941.11,0.0,organic,Grand Rapids
1.16,22694.58,98629.2,149.11,conventional,Harrisburg/Scranton
1.45,79.19,186.22,16.23,organic,Harrisburg/Scranton
1.27,4427.27,194438.24,169.66,conventional,Hartford/Springfield
2.32,88.59,3733.01,6.81,organic,Hartford/Springfield
0.78,389773.22,288003.62,126150.81,conventional,Houston
1.31,4797.41,57.91,0.0,organic,Houston
1.04,4647.28,69384.73,11206.4,conventional,Indianapolis
1.49,207.04,1052.49,0.0,organic,Indianapolis
0.99,91470.46,7688.79,514.7,conventional,Jacksonville
1.82,1154.87,45.01,28.43,organic,Jacksonville
0.83,135799.94,93317.46,4977.64,conventional,Las Vegas
1.94,1188.98,2391.02,0.0,organic,Las Vegas
0.8,976982.58,455203.42,86202.11,conventional,Los Angeles
1.21,8914.66,15290.56,0.0,organic,Los Angeles
1.04,1377.63,37760.21,3204.01,conventional,Louisville
1.82,9.98,690.02,0.0,organic,Louisville
0.99,387953.32,44652.25,54.44,conventional,Miami/Ft. Lauderdale
1.57,120.88,18.16,0.0,organic,Miami/Ft. Lauderdale
0.96,79508.7,8706.29,4748.08,conventional,Nashville
1.62,501.13,2284.69,0.0,organic,Nashville
0.91,105570.93,18655.62,284.7,conventional,New Orleans/Mobile
1.55,383.17,5.85,0.0,organic,New Orleans/Mobile
1.17,13711.19,872603.6,894.58,conventional,New York
1.9,1752.06,6546.95,1319.02,organic,New York
0.99,211102.9,20765.29,124.04,conventional,Orlando
1.67,1617.61,49.42,0.0,organic,Orlando
1.25,9778.07,208945.03,530.89,conventional,Philadelphia
1.5,340.1,2365.13,3.71,organic,Philadelphia
0.49,738314.8,286858.37,11642.46,conventional,Phoenix/Tucson
1.72,5038.15,906.49,0.0,organic,Phoenix/Tucson
1.25,1241.48,45856.11,951.32,conventional,Pittsburgh
1.5,199.16,29.63,0.0,organic,Pittsburgh
1.01,87748.64,131201.91,16182.87,conventional,Portland
1.24,1189.96,10909.14,10.05,organic,Portland
0.96,47444.55,86212.38,21669.44,conventional,Raleigh/Greensboro
1.74,256.26,1936.8,437.05,organic,Raleigh/Greensboro
0.98,46837.66,67974.89,5986.26,conventional,Richmond/Norfolk
1.53,59.01,1910.71,233.68,organic,Richmond/Norfolk
0.96,33255.5,31680.16,152.86,conventional,Roanoke
1.41,33.27,2525.8,0.0,organic,Roanoke
0.98,98482.89,249362.94,13805.3,conventional,Sacramento
1.72,1142.95,3722.48,0.0,organic,Sacramento
0.92,141447.28,130341.75,20174.55,conventional,San Diego
1.62,1834.72,5181.54,0.0,organic,San Diego
1.05,181704.67,422617.8,28184.73,conventional,San Francisco
1.88,792.47,13036.76,0.0,organic,San Francisco
1.09,101442.85,178459.6,7000.66,conventional,Seattle
1.51,610.22,13103.85,4.01,organic,Seattle
0.98,137133.17,48908.4,8151.76,conventional,South Carolina
1.71,561.54,1202.97,306.62,organic,South Carolina
1.05,20577.16,21592.44,2889.97,conventional,Spokane
1.59,41.54,1206.17,0.0,organic,Spokane
1.1,50481.76,25206.85,23.89,conventional,St. Louis
1.07,1347.91,935.8,12.36,organic,St. Louis
1.36,828.65,23560.51,14.41,conventional,Syracuse
1.54,0.0,73.22,0.0,organic,Syracuse
0.97,246326.83,35652.12,56.54,conventional,Tampa
1.63,874.75,17.54,0.0,organic,Tampa
0.71,451904.51,141599.36,15486.97,conventional,West Tex/New Mexico
1.81,1478.79,2629.64,14.1,organic,West Tex/New Mexico
1.03,939.71,139735.9,132.35,conventional,Albany
1.75,7.0,187.9,0.0,organic,Albany
1.05,350316.16,32958.06,396.68,conventional,Atlanta
1.48,3970.66,2151.52,0.0,organic,Atlanta
1.11,54491.78,583418.06,27147.33,conventional,Baltimore/Washington
1.56,581.45,6584.41,507.32,organic,Baltimore/Washington
0.77,43868.7,10276.84,5431.66,conventional,Boise
1.28,14.03,394.08,0.0,organic,Boise
1.01,5112.51,492477.86,21182.52,conventional,Boston
1.26,6.01,1010.59,0.0,organic,Boston
1.39,1486.6,57210.68,98.93,conventional,Buffalo/Rochester
1.44,2.37,160.11,0.0,organic,Buffalo/Rochester
0.73,2315175.35,2856102.41,257268.16,conventional,California
1.43,18211.06,66433.31,0.0,organic,California
0.96,42856.88,87749.01,31682.42,conventional,Charlotte
1.78,749.2,1979.18,705.6,organic,Charlotte
0.93,77301.31,656386.69,162054.24,conventional,Chicago
1.62,931.2,23415.93,0.0,organic,Chicago
0.9,2730.97,149327.89,18924.91,conventional,Cincinnati/Dayton
1.34,309.8,7637.9,0.0,organic,Cincinnati/Dayton
0.91,86025.77,40616.88,32940.14,conventional,Columbus
1.51,452.44,2937.02,2.2,organic,Columbus
0.78,551921.61,411340.37,80184.39,conventional,Dallas/Ft. Worth
1.26,4802.52,397.26,0.0,organic,Dallas/Ft. Worth
0.6,114121.88,526048.62,10374.52,conventional,Denver
1.05,7003.19,4240.7,51.8,organic,Denver
0.86,165617.47,93942.49,143911.67,conventional,Detroit
1.57,1673.67,5173.13,0.0,organic,Detroit
0.92,3985.19,191590.43,12294.17,conventional,Grand Rapids
1.45,1173.11,1325.82,0.0,organic,Grand Rapids
1.09,36241.25,157969.24,315.45,conventional,Harrisburg/Scranton
1.58,68.45,195.37,12.83,organic,Harrisburg/Scranton
1.07,4199.14,275680.97,297.23,conventional,Hartford/Springfield
1.51,95.21,4683.24,9.52,organic,Hartford/Springfield
0.78,356962.48,454200.44,113069.09,conventional,Houston
1.36,4233.76,53.79,0.0,organic,Houston
0.95,5974.1,109973.31,25839.4,conventional,Indianapolis
1.53,229.67,1187.16,0.0,organic,Indianapolis
1.09,103296.4,8714.57,487.53,conventional,Jacksonville
1.51,4852.89,163.43,16.7,organic,Jacksonville
0.8,103710.64,138142.95,15505.49,conventional,Las Vegas
1.69,1709.77,3384.63,0.0,organic,Las Vegas
0.64,1232109.79,992212.57,90511.09,conventional,Los Angeles
1.15,11697.8,18392.56,0.0,organic,Los Angeles
0.88,2673.33,73869.01,6301.38,conventional,Louisville
1.74,19.87,858.22,0.0,organic,Louisville
1.13,349992.75,44399.13,40.78,conventional,Miami/Ft. Lauderdale
1.24,7202.5,76.06,0.0,organic,Miami/Ft. Lauderdale
0.98,131286.47,11153.76,7695.24,conventional,Nashville
1.42,939.13,2479.3,0.0,organic,Nashville
0.86,159513.2,40902.35,352.6,conventional,New Orleans/Mobile
1.52,755.24,2.95,0.0,organic,New Orleans/Mobile
1.07,16972.91,1192875.91,1462.15,conventional,New York
1.61,1302.29,4127.37,1756.97,organic,New York
1.11,201918.77,31729.56,234.28,conventional,Orlando
1.33,5709.17,99.1,0.0,organic,Orlando
1.19,13858.25,309377.59,918.32,conventional,Philadelphia
1.53,150.18,1457.84,0.0,organic,Philadelphia
0.62,692403.58,250115.85,20950.56,conventional,Phoenix/Tucson
1.61,6889.43,1037.3,0.0,organic,Phoenix/Tucson
1.27,1511.68,61042.3,1389.95,conventional,Pittsburgh
1.44,291.99,13.05,0.0,organic,Pittsburgh
0.75,101180.6,291667.86,22086.36,conventional,Portland
1.44,2016.38,10072.33,6.69,organic,Portland
0.92,65934.23,127743.83,29344.8,conventional,Raleigh/Greensboro
1.68,156.67,2420.08,558.31,organic,Raleigh/Greensboro
0.96,79192.25,102411.75,8338.6,conventional,Richmond/Norfolk
1.45,110.92,2315.25,326.87,organic,Richmond/Norfolk
0.91,59481.98,58348.71,182.56,conventional,Roanoke
1.24,81.06,2303.95,0.0,organic,Roanoke
0.96,141161.62,301172.94,16053.59,conventional,Sacramento
1.68,1317.55,6361.92,0.0,organic,Sacramento
0.65,204145.28,256691.54,22617.47,conventional,San Diego
1.41,1991.55,5916.03,0.0,organic,San Diego
0.93,204501.46,593429.62,32339.95,conventional,San Francisco
1.93,1153.15,17249.32,0.0,organic,San Francisco
0.89,179151.58,290450.07,16134.86,conventional,Seattle
1.58,577.02,12634.37,12.01,organic,Seattle
1.03,195469.55,64802.02,10726.18,conventional,South Carolina
1.58,1241.89,1675.45,420.04,organic,South Carolina
0.9,25325.06,37805.37,4624.15,conventional,Spokane
1.69,75.14,1380.5,0.0,organic,Spokane
1.0,105267.98,29054.71,34.87,conventional,St. Louis
0.86,1303.08,932.82,5.29,organic,St. Louis
1.34,839.36,47417.06,24.66,conventional,Syracuse
1.46,1.24,72.14,0.0,organic,Syracuse
1.07,226406.25,46447.87,133.9,conventional,Tampa
1.08,3979.05,125.64,0.0,organic,Tampa
0.76,419119.49,178471.03,35241.26,conventional,West Tex/New Mexico
1.58,1820.39,2783.11,16.41,organic,West Tex/New Mexico
1.28,848.19,66696.97,109.08,conventional,Albany
1.83,35.03,329.33,0.0,organic,Albany
0.93,377244.81,67316.04,464.46,conventional,Atlanta
1.66,2123.47,2121.26,0.0,organic,Atlanta
1.17,60261.38,511067.0,26791.33,conventional,Baltimore/Washington
1.37,495.49,6973.51,401.96,organic,Baltimore/Washington
0.93,31802.36,8347.01,9065.03,conventional,Boise
1.04,36.85,684.99,0.0,organic,Boise
1.15,4120.09,391873.45,13321.08,conventional,Boston
1.32,65.96,766.46,1.2,organic,Boston
1.35,1619.0,52034.4,110.07,conventional,Buffalo/Rochester
1.5,1.19,182.7,0.0,organic,Buffalo/Rochester
0.87,1736168.01,2173554.18,261931.07,conventional,California
1.33,17520.67,60382.97,0.0,organic,California
0.95,21275.55,94804.67,29602.84,conventional,Charlotte
1.77,313.18,2207.99,842.33,organic,Charlotte
1.08,44289.03,534404.57,143202.95,conventional,Chicago
1.62,1437.58,34064.46,0.0,organic,Chicago
0.92,3115.25,151374.26,7200.14,conventional,Cincinnati/Dayton
1.31,689.26,8880.64,0.0,organic,Cincinnati/Dayton
0.97,82729.5,33601.78,17903.44,conventional,Columbus
1.37,969.19,3558.82,0.0,organic,Columbus
0.85,558567.39,394770.34,54920.09,conventional,Dallas/Ft. Worth
1.34,5332.87,389.96,0.0,organic,Dallas/Ft. Worth
0.72,146631.13,366330.53,37684.11,conventional,Denver
0.77,4369.82,10784.78,55.07,organic,Denver
1.1,133286.56,49832.73,73427.07,conventional,Detroit
1.48,4763.82,6356.7,0.0,organic,Detroit
1.17,3614.64,110381.2,3921.19,conventional,Grand Rapids
1.4,2821.21,939.02,0.0,organic,Grand Rapids
1.14,38270.32,113995.58,142.14,conventional,Harrisburg/Scranton
1.32,119.43,203.03,16.19,organic,Harrisburg/Scranton
1.26,3361.85,213814.5,238.17,conventional,Hartford/Springfield
2.08,149.26,2769.26,6.78,organic,Hartford/Springfield
0.84,434471.89,437751.47,85368.8,conventional,Houston
1.33,4217.68,38.32,0.0,organic,Houston
1.0,4590.25,101117.07,18454.86,conventional,Indianapolis
1.51,458.88,1268.87,0.0,organic,Indianapolis
0.95,122360.29,10625.3,273.06,conventional,Jacksonville
1.76,1732.15,78.13,24.04,organic,Jacksonville
0.83,118958.86,110549.87,6133.63,conventional,Las Vegas
1.41,1630.03,3858.64,0.0,organic,Las Vegas
0.74,841326.26,803197.41,88909.89,conventional,Los Angeles
1.08,11524.93,17132.02,0.0,organic,Los Angeles
0.89,2088.41,63265.58,2594.82,conventional,Louisville
1.68,44.55,1039.39,0.0,organic,Louisville
0.97,493952.15,82027.84,249.76,conventional,Miami/Ft. Lauderdale
1.52,2068.15,32.27,0.0,organic,Miami/Ft. Lauderdale
0.9,123086.83,29886.44,7579.87,conventional,Nashville
1.53,684.01,2558.51,0.0,organic,Nashville
0.9,160167.42,24063.03,440.92,conventional,New Orleans/Mobile
1.52,407.39,5.95,0.0,organic,New Orleans/Mobile
1.15,16165.18,1012218.12,1669.99,conventional,New York
1.54,3897.84,11770.29,1689.1,organic,New York
0.96,279393.48,31582.03,198.79,conventional,Orlando
1.75,2417.89,59.89,0.0,organic,Orlando
1.23,14091.36,271291.13,700.17,conventional,Philadelphia
1.37,457.95,2759.72,8.54,organic,Philadelphia
0.59,868817.82,252752.29,12047.67,conventional,Phoenix/Tucson
1.35,7104.3,1765.35,0.0,organic,Phoenix/Tucson
1.23,1767.42,67788.68,1611.68,conventional,Pittsburgh
1.4,373.66,21.03,0.0,organic,Pittsburgh
0.88,100449.51,241994.09,20422.92,conventional,Portland
1.25,1551.96,12122.49,15.05,organic,Portland
0.99,42069.78,120386.44,29658.58,conventional,Raleigh/Greensboro
1.59,144.97,3048.57,533.83,organic,Raleigh/Greensboro
0.97,81955.23,97007.78,8835.13,conventional,Richmond/Norfolk
1.35,126.55,2778.08,279.11,organic,Richmond/Norfolk
0.97,55844.25,42998.53,178.13,conventional,Roanoke
1.28,89.38,2637.76,0.0,organic,Roanoke
1.08,122362.72,229930.15,15444.14,conventional,Sacramento
1.68,1251.06,5380.3,0.0,organic,Sacramento
0.81,155537.61,153030.46,21523.37,conventional,San Diego
1.32,1414.85,5266.26,0.0,organic,San Diego
1.21,144506.94,487614.57,41093.96,conventional,San Francisco
1.93,1183.68,16067.37,0.0,organic,San Francisco
0.86,177583.68,272041.11,7552.84,conventional,Seattle
1.29,649.31,16547.56,6.67,organic,Seattle
0.98,171275.87,76296.7,9959.86,conventional,South Carolina
1.6,691.1,2094.93,360.62,organic,South Carolina
0.88,25931.41,32688.86,3214.92,conventional,Spokane
1.2,44.29,1435.6,3.85,organic,Spokane
1.01,77169.1,28510.27,34.37,conventional,St. Louis
1.42,2159.08,669.21,0.0,organic,St. Louis
1.36,757.85,31787.68,2.0,conventional,Syracuse
1.54,0.0,138.34,0.0,organic,Syracuse
0.85,250745.95,88162.17,131.61,conventional,Tampa
1.6,1487.74,16.13,0.0,organic,Tampa
0.74,486986.64,152838.09,16273.9,conventional,West Tex/New Mexico
1.37,1591.6,4070.29,23.41,organic,West Tex/New Mexico
1.26,1202.52,100613.46,51.22,conventional,Albany
1.67,66.63,430.17,0.0,organic,Albany
1.04,308722.88,45915.91,654.09,conventional,Atlanta
1.84,2279.53,2471.83,0.0,organic,Atlanta
1.17,58788.02,535244.92,25662.38,conventional,Baltimore/Washington
1.59,527.87,7394.43,316.27,organic,Baltimore/Washington
0.92,34302.93,7884.23,8901.1,conventional,Boise
1.37,16.47,602.97,0.0,organic,Boise
1.02,4392.86,486767.87,32505.74,conventional,Boston
1.13,14.36,743.11,0.0,organic,Boston
1.38,1778.63,49448.64,120.55,conventional,Buffalo/Rochester
1.51,0.0,154.52,0.0,organic,Buffalo/Rochester
0.9,1653347.69,2336705.19,250106.17,conventional,California
1.45,16081.34,66398.85,0.0,organic,California
0.98,29997.79,104174.89,29112.58,conventional,Charlotte
1.92,469.83,1659.7,587.83,organic,Charlotte
1.11,35099.73,500623.85,139309.53,conventional,Chicago
1.52,777.31,24636.26,0.0,organic,Chicago
0.86,3683.42,142145.57,7457.43,conventional,Cincinnati/Dayton
1.4,573.01,7597.31,0.0,organic,Cincinnati/Dayton
1.03,52491.11,30084.71,20930.75,conventional,Columbus
1.44,796.09,3813.38,0.0,organic,Columbus
0.79,600983.92,369825.14,79252.03,conventional,Dallas/Ft. Worth
1.25,7988.39,617.54,0.0,organic,Dallas/Ft. Worth
0.66,118599.67,403009.94,31009.77,conventional,Denver
1.15,6052.49,3670.46,23.12,organic,Denver
1.11,82804.19,46382.59,78514.15,conventional,Detroit
1.73,2686.57,6590.28,0.0,organic,Detroit
1.05,3810.41,106814.67,5407.0,conventional,Grand Rapids
1.53,1295.76,471.18,0.0,organic,Grand Rapids
1.15,37242.5,127825.35,215.42,conventional,Harrisburg/Scranton
2.0,107.45,294.08,12.85,organic,Harrisburg/Scranton
1.18,4186.8,265631.34,222.86,conventional,Hartford/Springfield
2.21,384.59,3048.31,4.06,organic,Hartford/Springfield
0.83,447913.43,369479.18,116440.7,conventional,Houston
1.31,6398.07,99.57,0.0,organic,Houston
0.97,5231.37,105606.63,12443.2,conventional,Indianapolis
1.51,315.5,1240.35,8.83,organic,Indianapolis
1.21,73496.53,9811.14,302.25,conventional,Jacksonville
1.8,1828.5,113.83,10.9,organic,Jacksonville
0.88,108072.15,98543.78,12497.2,conventional,Las Vegas
1.47,2067.07,4156.83,0.0,organic,Las Vegas
0.76,804573.11,854485.91,84389.3,conventional,Los Angeles
1.18,10218.02,19372.67,0.0,organic,Los Angeles
0.9,2202.61,48151.24,2801.8,conventional,Louisville
1.85,67.79,1037.86,0.0,organic,Louisville
1.2,276253.48,62106.53,292.47,conventional,Miami/Ft. Lauderdale
1.49,903.01,6.46,0.0,organic,Miami/Ft. Lauderdale
0.95,98888.27,30227.7,6427.63,conventional,Nashville
1.51,699.54,3333.92,0.0,organic,Nashville
0.88,158616.27,41109.9,499.98,conventional,New Orleans/Mobile
1.48,679.91,8.99,0.0,organic,New Orleans/Mobile
1.01,18562.23,1422978.1,4948.8,conventional,New York
1.93,4864.18,8524.31,1706.77,organic,New York
1.19,155452.86,21801.29,83.47,conventional,Orlando
1.77,2447.83,72.86,0.0,organic,Orlando
1.14,15195.3,340075.76,2771.59,conventional,Philadelphia
1.68,805.42,1997.8,33.34,organic,Philadelphia
0.71,632962.22,272231.24,19499.03,conventional,Phoenix/Tucson
1.46,6758.37,1863.82,0.0,organic,Phoenix/Tucson
1.22,1565.32,56551.43,1254.56,conventional,Pittsburgh
1.45,454.04,41.71,0.0,organic,Pittsburgh
0.87,91788.6,249094.94,16915.12,conventional,Portland
1.22,1345.36,11419.3,0.0,organic,Portland
1.0,47604.07,140274.99,27591.48,conventional,Raleigh/Greensboro
1.66,147.2,2088.92,436.7,organic,Raleigh/Greensboro
0.97,102087.13,115257.04,8461.9,conventional,Richmond/Norfolk
1.4,69.79,2273.91,253.58,organic,Richmond/Norfolk
0.98,64687.72,51993.7,98.71,conventional,Roanoke
1.37,130.27,2593.49,0.0,organic,Roanoke
1.11,105468.97,256283.84,15555.85,conventional,Sacramento
1.72,1153.85,5593.51,0.0,organic,Sacramento
0.79,164565.34,190461.21,19123.62,conventional,San Diego
1.46,1919.4,5839.47,0.0,organic,San Diego
1.24,141712.96,474840.29,36599.56,conventional,San Francisco
1.95,1127.33,17731.64,0.0,organic,San Francisco
0.94,155213.14,203618.21,8794.85,conventional,Seattle
1.26,560.56,15954.79,6.67,organic,Seattle
1.05,149490.32,74436.77,9610.22,conventional,South Carolina
1.66,844.33,1613.53,323.18,organic,South Carolina
0.98,20833.16,23919.53,3527.08,conventional,Spokane
1.19,40.41,1459.95,3.85,organic,Spokane
1.15,55839.79,32775.72,25.07,conventional,St. Louis
0.98,1669.28,655.91,0.0,organic,St. Louis
1.37,1078.47,41232.35,9.75,conventional,Syracuse
1.53,6.25,226.16,0.0,organic,Syracuse
1.05,138371.21,49996.61,101.81,conventional,Tampa
1.59,1442.08,35.91,0.0,organic,Tampa
0.83,440675.35,120098.37,26636.1,conventional,West Tex/New Mexico
1.45,1912.6,4779.17,25.72,organic,West Tex/New Mexico
1.22,545.37,70802.56,68.41,conventional,Albany
1.83,23.39,294.7,0.0,organic,Albany
0.92,318372.94,86816.97,401.33,conventional,Atlanta
1.65,2193.2,2432.91,0.0,organic,Atlanta
1.09,69829.09,689359.24,24029.92,conventional,Baltimore/Washington
1.58,719.74,5525.36,327.28,organic,Baltimore/Washington
0.9,18003.36,4208.29,4714.06,conventional,Boise
1.77,12.64,497.95,0.0,organic,Boise
1.05,3107.96,482030.79,26052.91,conventional,Boston
1.46,6.98,616.39,0.0,organic,Boston
1.31,467.72,54309.11,131.18,conventional,Buffalo/Rochester
1.49,1.19,129.34,0.0,organic,Buffalo/Rochester
0.88,1230068.19,2457751.77,272665.17,conventional,California
1.36,13658.82,86743.65,0.0,organic,California
0.92,13436.84,110261.96,30644.07,conventional,Charlotte
1.76,332.43,1649.8,603.21,organic,Charlotte
1.01,23862.94,543471.49,136033.93,conventional,Chicago
1.62,976.46,23728.41,0.0,organic,Chicago
0.89,1985.08,155256.89,23681.24,conventional,Cincinnati/Dayton
1.42,411.54,7551.79,0.0,organic,Cincinnati/Dayton
0.89,95511.64,43916.93,35349.8,conventional,Columbus
0.96,421.55,2812.84,1.09,organic,Columbus
1.02,187313.19,289208.53,47421.48,conventional,Dallas/Ft. Worth
1.35,6168.4,453.26,0.0,organic,Dallas/Ft. Worth
0.6,25727.06,404617.2,15454.69,conventional,Denver
0.86,7581.4,5040.24,29.68,organic,Denver
0.94,154051.35,95837.97,151279.99,conventional,Detroit
1.24,1591.6,5173.38,0.0,organic,Detroit
0.94,2407.36,195585.66,16377.2,conventional,Grand Rapids
1.49,1140.04,665.48,0.0,organic,Grand Rapids
1.13,30857.91,145118.66,187.2,conventional,Harrisburg/Scranton
1.79,100.32,193.57,13.56,organic,Harrisburg/Scranton
1.27,2330.83,234916.68,304.1,conventional,Hartford/Springfield
2.28,98.73,2428.94,4.06,organic,Hartford/Springfield
0.91,259465.21,363892.04,79193.39,conventional,Houston
1.38,5289.88,111.58,0.0,organic,Houston
0.93,1803.73,93613.73,23023.47,conventional,Indianapolis
1.13,334.99,1406.09,9.92,organic,Indianapolis
0.93,116713.78,18557.48,473.07,conventional,Jacksonville
1.66,1638.49,59.38,9.7,organic,Jacksonville
1.08,9727.38,81835.15,6141.39,conventional,Las Vegas
1.47,1706.27,4796.37,0.0,organic,Las Vegas
0.76,666019.46,779056.76,92941.13,conventional,Los Angeles
1.06,8070.14,27332.04,0.0,organic,Los Angeles
0.89,1672.67,72603.22,9688.49,conventional,Louisville
1.49,24.57,1229.56,0.0,organic,Louisville
0.96,416813.56,61067.87,259.56,conventional,Miami/Ft. Lauderdale
1.42,843.92,9.03,0.0,organic,Miami/Ft. Lauderdale
0.87,78105.34,33125.0,6297.48,conventional,Nashville
1.37,572.06,3389.83,0.0,organic,Nashville
0.9,101029.21,36030.5,403.01,conventional,New Orleans/Mobile
1.34,502.84,0.0,0.0,organic,New Orleans/Mobile
1.3,16058.14,993964.41,1854.2,conventional,New York
2.09,2289.5,9484.63,2221.2,organic,New York
0.93,234746.69,54289.25,325.53,conventional,Orlando
1.59,2300.07,57.74,0.0,organic,Orlando
1.34,12982.99,287750.87,692.47,conventional,Philadelphia
1.81,372.43,2325.54,5.97,organic,Philadelphia
0.61,537695.71,293418.02,15408.83,conventional,Phoenix/Tucson
1.61,5138.33,1669.21,0.0,organic,Phoenix/Tucson
1.2,106.84,63654.05,1741.79,conventional,Pittsburgh
1.16,235.54,132.09,0.0,organic,Pittsburgh
0.9,60000.87,208201.05,17305.06,conventional,Portland
1.6,1555.39,8077.81,15.01,organic,Portland
0.96,20211.55,135264.31,26788.14,conventional,Raleigh/Greensboro
1.59,113.48,2235.52,416.47,organic,Raleigh/Greensboro
0.97,81685.72,131405.09,7716.74,conventional,Richmond/Norfolk
1.45,114.05,2524.5,192.46,organic,Richmond/Norfolk
0.99,47641.16,55634.09,180.99,conventional,Roanoke
1.55,98.48,2996.95,0.0,organic,Roanoke
1.11,55327.2,278223.8,18007.03,conventional,Sacramento
1.73,1130.66,5939.57,0.0,organic,Sacramento
0.85,104831.87,157896.39,21607.39,conventional,San Diego
1.31,1368.36,8300.29,0.0,organic,San Diego
1.05,115036.6,621996.45,41235.01,conventional,San Francisco
1.89,1127.37,22922.9,0.0,organic,San Francisco
0.92,100315.41,253246.5,7343.76,conventional,Seattle
1.47,681.3,11791.04,63.93,organic,Seattle
0.95,145616.86,92970.97,9676.68,conventional,South Carolina
1.5,693.16,1335.95,362.17,organic,South Carolina
0.97,14122.5,29929.21,2793.05,conventional,Spokane
1.52,53.78,951.21,5.76,organic,Spokane
1.1,38174.66,28333.37,4.76,conventional,St. Louis
0.68,1490.93,595.22,5.27,organic,St. Louis
1.32,72.06,34868.95,31.76,conventional,Syracuse
1.64,1.25,113.89,0.0,organic,Syracuse
0.81,184104.57,122562.12,213.63,conventional,Tampa
1.44,1147.09,39.51,0.0,organic,Tampa
1.12,45720.39,99167.08,16034.41,conventional,West Tex/New Mexico
1.47,1554.09,4656.41,9.36,organic,West Tex/New Mexico
1.16,1386.24,79881.67,69.46,conventional,Albany
1.79,34.38,186.13,0.0,organic,Albany
1.04,290451.27,58974.21,412.16,conventional,Atlanta
1.71,2689.11,2147.89,0.0,organic,Atlanta
1.11,52641.93,506187.66,24482.29,conventional,Baltimore/Washington
1.47,680.27,7178.2,385.24,organic,Baltimore/Washington
0.94,36196.35,4791.21,8440.95,conventional,Boise
1.24,23.98,425.27,0.0,organic,Boise
1.03,6037.25,501280.47,25252.35,conventional,Boston
1.52,6.99,553.02,0.0,organic,Boston
1.21,2015.15,81676.45,88.82,conventional,Buffalo/Rochester
1.81,0.0,226.88,0.0,organic,Buffalo/Rochester
0.88,2126066.85,2069192.92,287234.03,conventional,California
1.43,17862.54,79184.75,124.41,organic,California
0.95,36408.49,108723.9,25918.83,conventional,Charlotte
1.75,354.19,1734.77,630.53,organic,Charlotte
1.12,35213.93,512608.82,132958.04,conventional,Chicago
1.61,814.1,27719.26,0.0,organic,Chicago
0.94,3261.74,133276.52,12917.42,conventional,Cincinnati/Dayton
