type,average_price,on_date,year,total_volume
conventional,0.82,2015-12-20,2015,928051.16
organic,1.38,2015-12-20,2015,11128.3
conventional,1.05,2015-12-20,2015,528944.54
organic,1.35,2015-12-20,2015,27173.38
conventional,1.1,2015-12-20,2015,250436.24
organic,1.8,2015-12-20,2015,4973.92
conventional,1.13,2015-12-20,2015,126262.26
organic,1.66,2015-12-20,2015,1991.44
conventional,1.01,2015-12-20,2015,2504745.45
organic,1.55,2015-12-20,2015,62669.16
conventional,1.11,2015-12-20,2015,180186.23
organic,2.09,2015-12-20,2015,2787.93
conventional,1.18,2015-12-20,2015,264155.74
organic,2.24,2015-12-20,2015,3998.59
conventional,0.75,2015-12-20,2015,922355.67
organic,1.27,2015-12-20,2015,9253.24
conventional,1.1,2015-12-20,2015,116353.68
organic,1.61,2015-12-20,2015,1601.29
conventional,1.19,2015-12-20,2015,95935.66
organic,1.83,2015-12-20,2015,1742.99
conventional,0.96,2015-12-20,2015,232294.71
organic,1.99,2015-12-20,2015,4921.37
conventional,0.85,2015-12-20,2015,2149872.45
organic,1.11,2015-12-20,2015,53170.36
conventional,1.05,2015-12-20,2015,56443.43
organic,1.8,2015-12-20,2015,924.46
conventional,1.21,2015-12-20,2015,350533.71
organic,1.5,2015-12-20,2015,1563.02
conventional,1.05,2015-12-20,2015,2044020.93
organic,1.71,2015-12-20,2015,43696.22
conventional,0.99,2015-12-20,2015,127373.56
organic,1.66,2015-12-20,2015,3764.64
conventional,0.92,2015-12-20,2015,191937.02
organic,1.66,2015-12-20,2015,1822.24
conventional,1.23,2015-12-20,2015,1139347.98
organic,1.93,2015-12-20,2015,24549.47
conventional,1.2,2015-12-20,2015,3190120.04
organic,1.77,2015-12-20,2015,73826.41
conventional,1.17,2015-12-20,2015,284808.22
organic,1.65,2015-12-20,2015,9262.66
conventional,1.21,2015-12-20,2015,200074.81
organic,1.89,2015-12-20,2015,2850.72
conventional,1.33,2015-12-20,2015,306843.13
organic,1.83,2015-12-20,2015,6900.94
conventional,0.53,2015-12-20,2015,1097224.25
organic,1.79,2015-12-20,2015,6499.82
conventional,1.22,2015-12-20,2015,68972.79
organic,1.55,2015-12-20,2015,679.51
conventional,1.13,2015-12-20,2015,1139861.64
organic,1.69,2015-12-20,2015,29471.57
conventional,0.98,2015-12-20,2015,416298.84
organic,1.21,2015-12-20,2015,25645.44
conventional,0.98,2015-12-20,2015,189584.22
organic,1.77,2015-12-20,2015,4400.55
conventional,0.99,2015-12-20,2015,158870.28
organic,1.67,2015-12-20,2015,3999.44
conventional,1,2015-12-20,2015,88183.03
organic,1.59,2015-12-20,2015,3569.54
conventional,1,2015-12-20,2015,385518.03
organic,1.68,2015-12-20,2015,5161.57
conventional,0.94,2015-12-20,2015,420476.44
organic,1.23,2015-12-20,2015,11727.34
conventional,1.15,2015-12-20,2015,637091.48
organic,1.87,2015-12-20,2015,13703.79
conventional,1.15,2015-12-20,2015,404862.32
organic,1.55,2015-12-20,2015,22819.1
conventional,1.04,2015-12-20,2015,211066.05
organic,1.77,2015-12-20,2015,3240.71
conventional,0.81,2015-12-20,2015,4565207.85
organic,1.41,2015-12-20,2015,52488.05
conventional,1.12,2015-12-20,2015,2206305.07
organic,1.8,2015-12-20,2015,25412.6
conventional,1.12,2015-12-20,2015,61555.62
organic,1.56,2015-12-20,2015,1711.63
conventional,1.13,2015-12-20,2015,135427.66
organic,1.34,2015-12-20,2015,5230.35
conventional,1.36,2015-12-20,2015,39365.15
organic,1.53,2015-12-20,2015,2491.77
conventional,1.15,2015-12-20,2015,238950.84
organic,1.79,2015-12-20,2015,2078.74
conventional,0.98,2015-12-20,2015,25083647.17
organic,1.53,2015-12-20,2015,531478.24
conventional,0.88,2015-12-20,2015,4737649.03
organic,1.45,2015-12-20,2015,144120.63
conventional,0.83,2015-12-20,2015,649885.76
organic,1.92,2015-12-20,2015,6255.19
conventional,1.33,2015-12-27,2015,64236.62
organic,1.83,2015-12-27,2015,989.55
conventional,0.99,2015-12-27,2015,386100.49
organic,1.84,2015-12-27,2015,3195
conventional,1.17,2015-12-27,2015,596819.4
organic,1.51,2015-12-27,2015,14201.42
conventional,0.97,2015-12-27,2015,62909.69
organic,0.91,2015-12-27,2015,2272.26
conventional,1.13,2015-12-27,2015,450816.39
organic,1.48,2015-12-27,2015,7986.08
conventional,1.35,2015-12-27,2015,96233.08
organic,1.47,2015-12-27,2015,5043.15
conventional,0.9,2015-12-27,2015,5040365.47
organic,1.45,2015-12-27,2015,98576.63
conventional,0.96,2015-12-27,2015,156698.24
organic,1.9,2015-12-27,2015,2948.39
conventional,0.93,2015-12-27,2015,661137.13
organic,1.58,2015-12-27,2015,20995.37
conventional,0.87,2015-12-27,2015,162993.77
organic,1.43,2015-12-27,2015,7088.36
conventional,0.99,2015-12-27,2015,107565.04
organic,1.53,2015-12-27,2015,2970.79
conventional,0.8,2015-12-27,2015,1020390.64
organic,1.33,2015-12-27,2015,10860.07
conventional,0.98,2015-12-27,2015,625475.1
organic,1.43,2015-12-27,2015,23728.62
conventional,1.08,2015-12-27,2015,255499.7
organic,1.61,2015-12-27,2015,6834.42
conventional,1.13,2015-12-27,2015,147713.85
organic,1.67,2015-12-27,2015,2010.73
conventional,1.01,2015-12-27,2015,2580602.96
organic,1.49,2015-12-27,2015,66775.85
conventional,1.16,2015-12-27,2015,173645.55
organic,1.45,2015-12-27,2015,5828.38
conventional,1.27,2015-12-27,2015,243556.57
organic,2.32,2015-12-27,2015,5526.5
conventional,0.78,2015-12-27,2015,944506.54
organic,1.31,2015-12-27,2015,10598.3
conventional,1.04,2015-12-27,2015,123096.09
organic,1.49,2015-12-27,2015,1726.25
conventional,0.99,2015-12-27,2015,132982.84
organic,1.82,2015-12-27,2015,1754.98
conventional,0.83,2015-12-27,2015,292707.14
organic,1.94,2015-12-27,2015,4595.5
conventional,0.8,2015-12-27,2015,2326942.14
organic,1.21,2015-12-27,2015,52474.67
conventional,1.04,2015-12-27,2015,61654.94
organic,1.82,2015-12-27,2015,862.59
conventional,0.99,2015-12-27,2015,545064.74
organic,1.57,2015-12-27,2015,1155.71
conventional,1.05,2015-12-27,2015,2065131.33
organic,1.6,2015-12-27,2015,51768.23
conventional,0.96,2015-12-27,2015,123669.89
organic,1.62,2015-12-27,2015,3895.76
conventional,0.91,2015-12-27,2015,187664.29
organic,1.55,2015-12-27,2015,2215.74
conventional,1.17,2015-12-27,2015,1129876.05
organic,1.9,2015-12-27,2015,21565.58
conventional,1.2,2015-12-27,2015,3156360.2
organic,1.7,2015-12-27,2015,75884.69
conventional,1.21,2015-12-27,2015,304598.42
organic,1.65,2015-12-27,2015,8119.93
conventional,0.99,2015-12-27,2015,305773.54
organic,1.67,2015-12-27,2015,3110.45
conventional,1.25,2015-12-27,2015,308546.88
organic,1.5,2015-12-27,2015,8780.15
conventional,0.49,2015-12-27,2015,1137707.43
organic,1.72,2015-12-27,2015,7422.47
conventional,1.25,2015-12-27,2015,73109.9
organic,1.5,2015-12-27,2015,749.03
conventional,1.1,2015-12-27,2015,1306923.23
organic,1.6,2015-12-27,2015,32041.32
conventional,1.01,2015-12-27,2015,417190.47
organic,1.24,2015-12-27,2015,27118.17
conventional,0.96,2015-12-27,2015,208425.96
organic,1.74,2015-12-27,2015,3905.44
conventional,0.98,2015-12-27,2015,161577.6
organic,1.53,2015-12-27,2015,4116.38
conventional,0.96,2015-12-27,2015,98584.92
organic,1.41,2015-12-27,2015,4367.47
conventional,0.98,2015-12-27,2015,403741.62
organic,1.72,2015-12-27,2015,4946.4
conventional,0.92,2015-12-27,2015,439968.4
organic,1.62,2015-12-27,2015,8704.72
conventional,1.05,2015-12-27,2015,692206.4
organic,1.88,2015-12-27,2015,14081.58
conventional,1.09,2015-12-27,2015,450185.94
organic,1.51,2015-12-27,2015,21378.66
conventional,0.98,2015-12-27,2015,251443.08
organic,1.71,2015-12-27,2015,3617.71
conventional,0.81,2015-12-27,2015,4831664.77
organic,1.39,2015-12-27,2015,56297.88
conventional,0.98,2015-12-27,2015,3024956.05
organic,1.7,2015-12-27,2015,25732.69
conventional,1.05,2015-12-27,2015,67099.38
organic,1.59,2015-12-27,2015,1723.36
conventional,1.1,2015-12-27,2015,152121.37
organic,1.07,2015-12-27,2015,7851.73
conventional,1.36,2015-12-27,2015,42344.22
organic,1.54,2015-12-27,2015,1652.19
conventional,0.97,2015-12-27,2015,376187.98
organic,1.63,2015-12-27,2015,2161.84
conventional,0.95,2015-12-27,2015,27297983.67
organic,1.52,2015-12-27,2015,549787.59
conventional,0.83,2015-12-27,2015,5291979.63
organic,1.46,2015-12-27,2015,142710.36
conventional,0.71,2015-12-27,2015,776404.39
organic,1.81,2015-12-27,2015,7155.63
conventional,1.03,2016-01-03,2016,149038.15
organic,1.75,2016-01-03,2016,1145.5
conventional,1.05,2016-01-03,2016,449263.47
organic,1.48,2016-01-03,2016,7953.26
conventional,1.11,2016-01-03,2016,816760.46
organic,1.56,2016-01-03,2016,16106.89
conventional,0.77,2016-01-03,2016,106106.95
organic,1.28,2016-01-03,2016,1200.13
conventional,1.01,2016-01-03,2016,610622.03
organic,1.26,2016-01-03,2016,7629.12
conventional,1.39,2016-01-03,2016,130620.57
organic,1.44,2016-01-03,2016,5738.68
conventional,0.73,2016-01-03,2016,7730431.28
organic,1.43,2016-01-03,2016,122089.29
conventional,0.96,2016-01-03,2016,203961.88
organic,1.78,2016-01-03,2016,4284.47
conventional,0.93,2016-01-03,2016,1009667.15
organic,1.62,2016-01-03,2016,24460.46
conventional,0.9,2016-01-03,2016,222534.76
organic,1.34,2016-01-03,2016,10552.84
conventional,0.91,2016-01-03,2016,192774.07
organic,1.51,2016-01-03,2016,4034.88
conventional,0.78,2016-01-03,2016,1191927.54
organic,1.26,2016-01-03,2016,10777.27
conventional,0.6,2016-01-03,2016,1295246.27
organic,1.05,2016-01-03,2016,30514.09
conventional,0.86,2016-01-03,2016,492699.87
organic,1.57,2016-01-03,2016,8032.68
conventional,0.92,2016-01-03,2016,258889.23
organic,1.45,2016-01-03,2016,2625.6
conventional,0.92,2016-01-03,2016,4065583.41
organic,1.44,2016-01-03,2016,83325.98
conventional,1.09,2016-01-03,2016,252693.38
organic,1.58,2016-01-03,2016,7329.14
conventional,1.07,2016-01-03,2016,322752.02
organic,1.51,2016-01-03,2016,5895.92
conventional,0.78,2016-01-03,2016,1061566.78
organic,1.36,2016-01-03,2016,9643.77
conventional,0.95,2016-01-03,2016,184669.77
organic,1.53,2016-01-03,2016,2057.45
conventional,1.09,2016-01-03,2016,148599.47
organic,1.51,2016-01-03,2016,5893.02
conventional,0.8,2016-01-03,2016,332971.8
organic,1.69,2016-01-03,2016,7552.52
conventional,0.64,2016-01-03,2016,3967109.33
organic,1.15,2016-01-03,2016,60896.62
conventional,0.88,2016-01-03,2016,116363.51
organic,1.74,2016-01-03,2016,1057.26
conventional,1.13,2016-01-03,2016,502583.68
organic,1.24,2016-01-03,2016,15211.54
conventional,1.01,2016-01-03,2016,2967929.65
organic,1.54,2016-01-03,2016,64689.53
conventional,0.98,2016-01-03,2016,185316.35
organic,1.42,2016-01-03,2016,5741.19
conventional,0.86,2016-01-03,2016,274498.01
organic,1.52,2016-01-03,2016,2906.1
conventional,1.07,2016-01-03,2016,1454164.32
organic,1.61,2016-01-03,2016,21072.22
conventional,1.07,2016-01-03,2016,4524219.73
organic,1.54,2016-01-03,2016,79900.43
conventional,0.96,2016-01-03,2016,553828.14
organic,1.63,2016-01-03,2016,8936.72
conventional,1.11,2016-01-03,2016,308711.73
organic,1.33,2016-01-03,2016,9387.91
conventional,1.19,2016-01-03,2016,421093.02
organic,1.53,2016-01-03,2016,8788.89
conventional,0.62,2016-01-03,2016,1092066.65
organic,1.61,2016-01-03,2016,10650.66
conventional,1.27,2016-01-03,2016,90521.74
organic,1.44,2016-01-03,2016,911.96
conventional,0.94,2016-01-03,2016,2171818.57
organic,1.5,2016-01-03,2016,38955.86
conventional,0.75,2016-01-03,2016,830063.2
organic,1.44,2016-01-03,2016,28250.84
conventional,0.92,2016-01-03,2016,280335.82
organic,1.68,2016-01-03,2016,4884.82
conventional,0.96,2016-01-03,2016,235618.91
organic,1.45,2016-01-03,2016,5094.68
conventional,0.91,2016-01-03,2016,156699.18
organic,1.24,2016-01-03,2016,5024.11
conventional,0.96,2016-01-03,2016,512117.98
organic,1.68,2016-01-03,2016,7911.16
conventional,0.65,2016-01-03,2016,719749.77
organic,1.41,2016-01-03,2016,10975.51
conventional,0.93,2016-01-03,2016,918798.74
organic,1.93,2016-01-03,2016,18894.27
conventional,0.89,2016-01-03,2016,814295.85
organic,1.58,2016-01-03,2016,24767.95
conventional,1.03,2016-01-03,2016,319228.46
organic,1.58,2016-01-03,2016,5893.4
conventional,0.79,2016-01-03,2016,5693942.07
organic,1.38,2016-01-03,2016,56538.34
conventional,1.06,2016-01-03,2016,3280451.38
organic,1.32,2016-01-03,2016,86759.88
conventional,0.9,2016-01-03,2016,113049.35
organic,1.69,2016-01-03,2016,2401.84
conventional,1,2016-01-03,2016,213437.44
organic,0.86,2016-01-03,2016,10026.13
conventional,1.34,2016-01-03,2016,69200.73
organic,1.46,2016-01-03,2016,1621.21
conventional,1.07,2016-01-03,2016,375548.86
organic,1.08,2016-01-03,2016,11446.01
conventional,0.86,2016-01-03,2016,38142088.04
organic,1.43,2016-01-03,2016,704100.5
conventional,0.73,2016-01-03,2016,7707711.9
organic,1.41,2016-01-03,2016,171841.15
conventional,0.76,2016-01-03,2016,761760.52
organic,1.58,2016-01-03,2016,9667.05
conventional,1.28,2016-01-10,2016,79121.77
organic,1.83,2016-01-10,2016,1676.05
conventional,0.93,2016-01-10,2016,558348.8
organic,1.66,2016-01-10,2016,5614.09
conventional,1.17,2016-01-10,2016,780979.13
organic,1.37,2016-01-10,2016,20518.45
conventional,0.93,2016-01-10,2016,89880.9
organic,1.04,2016-01-10,2016,2373.95
conventional,1.15,2016-01-10,2016,536674.53
organic,1.32,2016-01-10,2016,7751.94
conventional,1.35,2016-01-10,2016,134522.52
organic,1.5,2016-01-10,2016,4397.57
conventional,0.87,2016-01-10,2016,6303406.82
organic,1.33,2016-01-10,2016,138580.98
conventional,0.95,2016-01-10,2016,196216.36
organic,1.77,2016-01-10,2016,4815.55
conventional,1.08,2016-01-10,2016,844277.25
organic,1.62,2016-01-10,2016,35835.37
conventional,0.92,2016-01-10,2016,218906.82
organic,1.31,2016-01-10,2016,13480.88
conventional,0.97,2016-01-10,2016,163977.03
organic,1.37,2016-01-10,2016,5663.07
conventional,0.85,2016-01-10,2016,1145736.97
organic,1.34,2016-01-10,2016,11624.41
conventional,0.72,2016-01-10,2016,1094945.73
organic,0.77,2016-01-10,2016,63531.61
conventional,1.1,2016-01-10,2016,325997.55
organic,1.48,2016-01-10,2016,13098.8
conventional,1.17,2016-01-10,2016,160432.54
organic,1.4,2016-01-10,2016,4134.61
conventional,1.06,2016-01-10,2016,3310201.06
organic,1.48,2016-01-10,2016,112034.52
conventional,1.14,2016-01-10,2016,231258.4
organic,1.32,2016-01-10,2016,7967.11
conventional,1.26,2016-01-10,2016,284119.04
organic,2.08,2016-01-10,2016,3984.77
conventional,0.84,2016-01-10,2016,1095287.56
organic,1.33,2016-01-10,2016,10100.44
conventional,1,2016-01-10,2016,173238.2
organic,1.51,2016-01-10,2016,2816.92
conventional,0.95,2016-01-10,2016,181584.67
organic,1.76,2016-01-10,2016,2737.65
conventional,0.83,2016-01-10,2016,309217.44
organic,1.41,2016-01-10,2016,8480.1
conventional,0.74,2016-01-10,2016,3172437.94
organic,1.08,2016-01-10,2016,80027.43
conventional,0.89,2016-01-10,2016,99956.44
organic,1.68,2016-01-10,2016,1460.66
conventional,0.97,2016-01-10,2016,702726.81
organic,1.52,2016-01-10,2016,4664.6
conventional,1.04,2016-01-10,2016,2871898.66
organic,1.46,2016-01-10,2016,76440.12
conventional,0.9,2016-01-10,2016,212752.83
organic,1.53,2016-01-10,2016,4746.74
conventional,0.9,2016-01-10,2016,264477.45
organic,1.52,2016-01-10,2016,2774.1
conventional,1.15,2016-01-10,2016,1364272.64
organic,1.54,2016-01-10,2016,34629.36
conventional,1.2,2016-01-10,2016,3890225.41
organic,1.52,2016-01-10,2016,99539.08
conventional,1.24,2016-01-10,2016,343406.89
organic,1.66,2016-01-10,2016,10525.16
conventional,0.96,2016-01-10,2016,413413.58
organic,1.75,2016-01-10,2016,3858.1
conventional,1.23,2016-01-10,2016,413224.5
organic,1.37,2016-01-10,2016,13336.18
conventional,0.59,2016-01-10,2016,1276128.92
organic,1.35,2016-01-10,2016,13145.55
conventional,1.23,2016-01-10,2016,110155.55
organic,1.4,2016-01-10,2016,1314.78
conventional,1.08,2016-01-10,2016,1670524.63
organic,1.63,2016-01-10,2016,41956.88
conventional,0.88,2016-01-10,2016,731602.32
organic,1.25,2016-01-10,2016,30581.35
conventional,0.99,2016-01-10,2016,257990.11
organic,1.59,2016-01-10,2016,6504.77
conventional,0.97,2016-01-10,2016,243704.71
organic,1.35,2016-01-10,2016,6424.72
conventional,0.97,2016-01-10,2016,143703.88
organic,1.28,2016-01-10,2016,6018.32
conventional,1.08,2016-01-10,2016,434238.52
organic,1.68,2016-01-10,2016,6929.96
conventional,0.81,2016-01-10,2016,578610.94
organic,1.32,2016-01-10,2016,12435.43
conventional,1.21,2016-01-10,2016,765839.95
organic,1.93,2016-01-10,2016,17568.19
conventional,0.86,2016-01-10,2016,831911.78
organic,1.29,2016-01-10,2016,37193.3
conventional,0.98,2016-01-10,2016,322434.61
organic,1.6,2016-01-10,2016,6107.02
conventional,0.84,2016-01-10,2016,5647635.02
organic,1.38,2016-01-10,2016,63163.21
conventional,0.93,2016-01-10,2016,4132191.54
organic,1.64,2016-01-10,2016,41864.22
conventional,0.88,2016-01-10,2016,111604.85
organic,1.2,2016-01-10,2016,3528.15
conventional,1.01,2016-01-10,2016,218460.75
organic,1.42,2016-01-10,2016,6987.04
conventional,1.36,2016-01-10,2016,57676.73
organic,1.54,2016-01-10,2016,1708.27
conventional,0.85,2016-01-10,2016,519360.29
organic,1.6,2016-01-10,2016,3428.28
conventional,0.93,2016-01-10,2016,35264336.01
organic,1.35,2016-01-10,2016,828670.59
conventional,0.77,2016-01-10,2016,7438252.93
organic,1.09,2016-01-10,2016,255091.59
conventional,0.74,2016-01-10,2016,781036.73
organic,1.37,2016-01-10,2016,12647.9
conventional,1.26,2016-01-17,2016,119972.41
organic,1.67,2016-01-17,2016,1496.73
conventional,1.04,2016-01-17,2016,445089.93
organic,1.84,2016-01-17,2016,5227.45
conventional,1.17,2016-01-17,2016,836225.86
organic,1.59,2016-01-17,2016,14367.76
conventional,0.92,2016-01-17,2016,92385.23
organic,1.37,2016-01-17,2016,1728.46
conventional,1.02,2016-01-17,2016,665217.66
organic,1.13,2016-01-17,2016,9327.19
conventional,1.38,2016-01-17,2016,132286.31
organic,1.51,2016-01-17,2016,3607.37
conventional,0.9,2016-01-17,2016,6000013.23
organic,1.45,2016-01-17,2016,125541.88
conventional,0.98,2016-01-17,2016,206778.29
organic,1.92,2016-01-17,2016,2997.36
conventional,1.11,2016-01-17,2016,778412.5
organic,1.52,2016-01-17,2016,25573.57
conventional,0.86,2016-01-17,2016,228860.79
organic,1.4,2016-01-17,2016,9955.8
conventional,1.03,2016-01-17,2016,134604.75
organic,1.44,2016-01-17,2016,5244.61
conventional,0.79,2016-01-17,2016,1164936.06
organic,1.25,2016-01-17,2016,14648.09
conventional,0.66,2016-01-17,2016,1245174.24
organic,1.15,2016-01-17,2016,22059.78
conventional,1.11,2016-01-17,2016,293246.54
organic,1.73,2016-01-17,2016,10928.62
conventional,1.05,2016-01-17,2016,172166.36
organic,1.53,2016-01-17,2016,2099.77
conventional,1.05,2016-01-17,2016,3166941.66
organic,1.46,2016-01-17,2016,91071.06
conventional,1.15,2016-01-17,2016,251772.19
organic,2,2016-01-17,2016,4610.66
conventional,1.18,2016-01-17,2016,352472.83
organic,2.21,2016-01-17,2016,3834.56
conventional,0.83,2016-01-17,2016,1071138.98
organic,1.31,2016-01-17,2016,11306.09
conventional,0.97,2016-01-17,2016,171404.92
organic,1.51,2016-01-17,2016,2169.25
conventional,1.21,2016-01-17,2016,118230.86
organic,1.8,2016-01-17,2016,2613.23
conventional,0.88,2016-01-17,2016,289298.37
organic,1.47,2016-01-17,2016,8854.46
conventional,0.76,2016-01-17,2016,2952576.85
organic,1.18,2016-01-17,2016,65863.8
conventional,0.9,2016-01-17,2016,83687.48
organic,1.85,2016-01-17,2016,1241.24
conventional,1.2,2016-01-17,2016,430079.07
organic,1.49,2016-01-17,2016,2528.26
conventional,1.05,2016-01-17,2016,3001683.91
organic,1.59,2016-01-17,2016,57822.5
conventional,0.95,2016-01-17,2016,181360.74
organic,1.51,2016-01-17,2016,5750.49
conventional,0.88,2016-01-17,2016,286862.77
organic,1.48,2016-01-17,2016,3180.64
conventional,1.01,2016-01-17,2016,1840344.27
organic,1.93,2016-01-17,2016,20475.96
conventional,1.09,2016-01-17,2016,4891516.5
organic,1.67,2016-01-17,2016,76290.32
conventional,1.08,2016-01-17,2016,447078.92
organic,1.55,2016-01-17,2016,10459.56
conventional,1.19,2016-01-17,2016,248039.16
organic,1.77,2016-01-17,2016,3490.69
conventional,1.14,2016-01-17,2016,492565.69
organic,1.68,2016-01-17,2016,8382.56
conventional,0.71,2016-01-17,2016,1069974.38
organic,1.46,2016-01-17,2016,10926.61
conventional,1.22,2016-01-17,2016,94971.15
organic,1.45,2016-01-17,2016,1219.69
conventional,1.12,2016-01-17,2016,1495176.98
organic,1.47,2016-01-17,2016,50053.55
conventional,0.87,2016-01-17,2016,731385.02
organic,1.22,2016-01-17,2016,29446.62
conventional,1,2016-01-17,2016,272248.84
organic,1.66,2016-01-17,2016,4137.6
conventional,0.97,2016-01-17,2016,272594.61
organic,1.4,2016-01-17,2016,4173.42
conventional,0.98,2016-01-17,2016,157618.05
organic,1.37,2016-01-17,2016,4509.76
conventional,1.11,2016-01-17,2016,437356.64
organic,1.72,2016-01-17,2016,6880.85
conventional,0.79,2016-01-17,2016,561712.98
organic,1.46,2016-01-17,2016,12118.57
conventional,1.24,2016-01-17,2016,732860.83
organic,1.95,2016-01-17,2016,18983.23
conventional,0.94,2016-01-17,2016,788935.31
organic,1.26,2016-01-17,2016,42107.7
conventional,1.05,2016-01-17,2016,287599.16
organic,1.66,2016-01-17,2016,4600.84
conventional,0.81,2016-01-17,2016,5735627.03
organic,1.33,2016-01-17,2016,67598.5
conventional,1.09,2016-01-17,2016,2913810.18
organic,1.69,2016-01-17,2016,36802.17
conventional,0.98,2016-01-17,2016,100754.26
organic,1.19,2016-01-17,2016,3476.19
conventional,1.15,2016-01-17,2016,167689.21
organic,0.98,2016-01-17,2016,8688.58
conventional,1.37,2016-01-17,2016,70134.99
organic,1.53,2016-01-17,2016,1478.04
conventional,1.05,2016-01-17,2016,304269.38
organic,1.59,2016-01-17,2016,2951.32
conventional,0.94,2016-01-17,2016,34426341.87
organic,1.44,2016-01-17,2016,695341.42
conventional,0.81,2016-01-17,2016,7221572.36
organic,1.27,2016-01-17,2016,190161.43
conventional,0.83,2016-01-17,2016,712937.27
organic,1.45,2016-01-17,2016,13237.48
conventional,1.22,2016-01-24,2016,96089.13
organic,1.83,2016-01-24,2016,1506.87
conventional,0.92,2016-01-24,2016,528776.51
organic,1.65,2016-01-24,2016,6193.73
conventional,1.09,2016-01-24,2016,1022653.39
organic,1.58,2016-01-24,2016,18287.57
conventional,0.9,2016-01-24,2016,58434.39
organic,1.77,2016-01-24,2016,1117.32
conventional,1.05,2016-01-24,2016,670376.77
organic,1.46,2016-01-24,2016,8850.23
conventional,1.31,2016-01-24,2016,147469.99
organic,1.49,2016-01-24,2016,2039.63
conventional,0.88,2016-01-24,2016,6246380.73
organic,1.36,2016-01-24,2016,154438.32
conventional,0.92,2016-01-24,2016,207961.33
organic,1.76,2016-01-24,2016,3735.44
conventional,1.01,2016-01-24,2016,794029.7
organic,1.62,2016-01-24,2016,25004.87
conventional,0.89,2016-01-24,2016,252317.23
organic,1.42,2016-01-24,2016,11874.46
conventional,0.89,2016-01-24,2016,213215.4
organic,0.96,2016-01-24,2016,6522.27
conventional,1.02,2016-01-24,2016,676032.04
organic,1.35,2016-01-24,2016,14155.9
conventional,0.6,2016-01-24,2016,1195521.28
organic,0.86,2016-01-24,2016,45127.01
conventional,0.94,2016-01-24,2016,489584.58
organic,1.24,2016-01-24,2016,13050.86
conventional,0.94,2016-01-24,2016,260598.64
organic,1.49,2016-01-24,2016,2363.97
conventional,0.95,2016-01-24,2016,3806974.62
organic,1.31,2016-01-24,2016,102833.87
conventional,1.13,2016-01-24,2016,269859.91
organic,1.79,2016-01-24,2016,7830.1
conventional,1.27,2016-01-24,2016,317932.59
organic,2.28,2016-01-24,2016,4508.3
conventional,0.91,2016-01-24,2016,867294.64
organic,1.38,2016-01-24,2016,10504.4
conventional,0.93,2016-01-24,2016,168035.39
organic,1.13,2016-01-24,2016,3585.33
conventional,0.93,2016-01-24,2016,192194.31
organic,1.66,2016-01-24,2016,2934.24
conventional,1.08,2016-01-24,2016,158978.46
organic,1.47,2016-01-24,2016,9297.5
conventional,0.76,2016-01-24,2016,3173509.36
organic,1.06,2016-01-24,2016,79706.09
conventional,0.89,2016-01-24,2016,120304.63
organic,1.49,2016-01-24,2016,1929.38
conventional,0.96,2016-01-24,2016,611557.77
organic,1.42,2016-01-24,2016,3020.48
conventional,1.01,2016-01-24,2016,3147902.67
organic,1.54,2016-01-24,2016,72219
conventional,0.87,2016-01-24,2016,167159.24
organic,1.37,2016-01-24,2016,6554.54
conventional,0.9,2016-01-24,2016,228086.1
organic,1.34,2016-01-24,2016,3903.11
conventional,1.3,2016-01-24,2016,1429242.83
organic,2.09,2016-01-24,2016,28121.46
conventional,1.21,2016-01-24,2016,4412280.93
organic,1.82,2016-01-24,2016,89368.59
conventional,1.07,2016-01-24,2016,453559.54
organic,1.67,2016-01-24,2016,11214.42
conventional,0.93,2016-01-24,2016,399751.64
organic,1.59,2016-01-24,2016,4767.81
conventional,1.34,2016-01-24,2016,448784.3
organic,1.81,2016-01-24,2016,11722.26
conventional,0.61,2016-01-24,2016,1016720.53
organic,1.61,2016-01-24,2016,9059.12
conventional,1.2,2016-01-24,2016,96487.8
organic,1.16,2016-01-24,2016,1940.08
conventional,1.16,2016-01-24,2016,1261352.88
organic,1.33,2016-01-24,2016,56919.22
conventional,0.9,2016-01-24,2016,596989.37
organic,1.6,2016-01-24,2016,17724.75
conventional,0.96,2016-01-24,2016,242512.95
organic,1.59,2016-01-24,2016,5276.31
conventional,0.97,2016-01-24,2016,272314.29
organic,1.45,2016-01-24,2016,5064.84
conventional,0.99,2016-01-24,2016,143015.44
organic,1.55,2016-01-24,2016,4774.87
conventional,1.11,2016-01-24,2016,409324.93
organic,1.73,2016-01-24,2016,7361.79
conventional,0.85,2016-01-24,2016,564637.66
organic,1.31,2016-01-24,2016,15316.04
conventional,1.05,2016-01-24,2016,844417.47
organic,1.89,2016-01-24,2016,24292.32
conventional,0.92,2016-01-24,2016,726078.64
organic,1.47,2016-01-24,2016,26516.63
conventional,0.95,2016-01-24,2016,317032.31
organic,1.5,2016-01-24,2016,5939.18
conventional,0.94,2016-01-24,2016,3898235.29
organic,1.35,2016-01-24,2016,70767.77
conventional,0.9,2016-01-24,2016,3895844.89
organic,1.55,2016-01-24,2016,45545.02
conventional,0.97,2016-01-24,2016,89537.48
organic,1.52,2016-01-24,2016,1955.39
conventional,1.1,2016-01-24,2016,167619.96
organic,0.68,2016-01-24,2016,15106.42
conventional,1.32,2016-01-24,2016,64280.43
organic,1.64,2016-01-24,2016,809.41
